benchmark,methods,pop_size,generations,run ke-1,run ke-2,run ke-3,run ke-4,run ke-5,run ke-6,run ke-7,run ke-8,run ke-9,run ke-10,run ke-11,run ke-12,run ke-13,run ke-14,run ke-15,run ke-16,run ke-17,run ke-18,run ke-19,run ke-20
X-n106-k14,CA-NN,50,7,28488.07692,28365.75962,28510.79615,28457.46923,28524.8,28577.60385,28437.43269,28571.64615,28537.07308,28423.65385,28534.83269,28516.13077,28391.28846,28465.85769,28425.31731,28499.77885,28622.68654,28433.41346,28486.53077,28383.24615
X-n106-k14,CA-NN,50,8,28451.35577,28386.76923,28421.38654,28404.04231,28612.9,28602.01346,28540.71538,28515.48846,28500.24615,28427.83269,28553.75192,28539.59038,28432.28077,28456.06346,28419.19231,28469.76346,28572.77115,28433.28846,28574.05769,28399.55192
X-n106-k14,CA-NN,50,9,28437.09231,28421.59038,28438.77885,28385.21731,28688.25385,28538.06923,28504.85962,28484.075,28549.60385,28482.31538,28522.725,28418.38846,28429.60962,28536.425,28458.40962,28420.65769,28553.17115,28455.35385,28425.37885,28488.98462
X-n106-k14,CA-NN,50,10,28486.06731,28374.33846,28462.56923,28419.77692,28716.91154,28513.04423,28518.60769,28397.60577,28690.74231,28457.11346,28484.05577,28575.28462,28387.96923,28521.69423,28517.83846,28427.52885,28632.34423,28495.15385,28394.3,28501.35769
X-n106-k14,CA-NN,50,11,28479.24423,28374.33846,28393.71923,28471.2,28706.23846,28506.75,28479.45769,28383.08269,28559.46538,28514.89038,28485.03846,28584.68462,28438.92692,28566.49038,28496.33846,28491.10192,28864.33846,28869.23269,28428.62885,28504.32115
X-n106-k14,CA-NN,50,12,28464.30577,28420.59615,28379.35769,28571.01731,28669.27308,28493.09038,28490.94038,28402.64038,28554.37885,28550.55962,28450.98654,28719.17885,28415.69038,28510.68654,28570.93654,28565.94615,28708.88846,29154.625,28418.20577,28615.90769
X-n106-k14,CA-NN,50,13,28423.20577,28509.40385,28383.75577,28802.33846,28667.50769,28469.85385,28494.97308,28394.95385,28595.95385,28464.5,28460.37115,28735.61538,28553.78846,28414.07885,28555.37115,28576.22885,28574.02885,29041.45962,28378.68077,28578.31923
X-n106-k14,CA-NN,50,14,28443.73462,28442.82885,28393.95577,29193.51731,28538.15192,28386.55577,28433.84423,28681.91154,28592.54231,28522.34615,28406.75192,28749.69808,28547.88654,28379.09038,28604.38077,28749.34038,28473.99615,28986.12115,28470.975,28665.23654
X-n106-k14,CA-NN,50,15,28439.12692,28469.02115,28419.075,29244.43462,28659.94038,28344.36923,28429.49808,28873.43077,28507.86154,28382.5,28478.50192,28808.13462,28549.79423,28481.60962,28542.20385,28844.38269,28471.50962,29038.36346,28576.53654,28755.89038
X-n106-k14,CA-NN,50,16,28422.23654,28586.25385,28460.12115,29162.47885,28575.84808,28386.05,28407.95385,28995.93654,28576.96154,28404.82692,28537.73654,28796.88077,28601.17308,28509.84615,28577.56538,28839.46538,28552.34038,29350.34615,28678.72885,28630.79615
